Id,fwd,lag_d,noc,gy,ay,noi,UMC,firm,MSA,tbm,tbru,PAG,npr,fpr,FT,FS
6220,32,1155,3,1997,1994,2,701,465540,39,13,0.82845,4592803.692,1,0,2,
6221,21,1678,14,2001,1996,2,709,280070,516,3,0.66667,5900977.333,0,0,2,225
6222,21,992,13,1996,1993,4,711,596125,156,8,0.21876,5054292.625,0,0,2,54
6223,73,1149,14,1994,1991,3,379,706518,168,6,0,4731514,5,0,2,273
6224,135,755,13,1982,1980,1,705,0,302,11,0.4463,4023151.818,0,0,1,
6225,8,999,22,1998,1995,2,715,514145,302,6,0.50002,5463294.333,1,0,2,4
6226,3,637,6,1998,1996,1,345,503380,553,4,0.375,5465635.5,2,1,3,
6227,44,727,10,1993,1991,4,379,414105,261,3,0.66667,4919299,4,1,2,
6228,15,869,9,1998,1996,3,719,551495,52,11,0.80994,5432709.455,4,1,2,14
6229,3,820,10,1987,1984,1,710,706518,47,3,0.44445,4216448.667,0,0,2,
6230,4,1231,22,2000,1997,5,703,769511,261,11,0.84301,5585025.455,1,0,2,
6231,25,819,8,1988,1986,1,382,393900,538,3,0.66667,4204169.667,4,0,7,
6232,20,811,13,2000,1997,1,711,147695,209,8,0.40626,5484434,0,0,2,59
6233,45,524,19,1996,1995,6,710,280070,168,5,0.56,5138588.8,0,0,2,219
6234,19,1257,4,1996,1993,6,324,280070,553,13,0.39056,4839034,1,3,2,301
6235,20,662,30,1990,1988,4,701,695413,168,10,0.34,4446185.4,0,0,2,
6236,9,1313,38,2000,1997,2,348,654319,553,4,0.375,5196884,0,0,3,75
6237,5,1124,32,1984,1981,14,712,135850,261,3,0.44445,4093316.333,0,0,2,14
6238,28,650,15,1991,1989,7,704,280070,302,7,0.6939,4436673.143,1,0,2,387
6239,19,1293,6,1985,1982,1,708,570160,108,4,0,3952426.75,2,0,2,83
6240,9,944,19,1999,1997,1,455,566545,145,27,0.56791,5476750.593,8,5,2,93
6241,31,1072,22,1994,1991,1,704,280070,26,5,0.56,4606704.8,0,0,2,373
6242,22,965,26,2000,1997,3,717,280070,251,6,0.50002,5596431.667,19,0,2,240
6243,25,403,15,1994,1993,1,711,639675,23,8,0.56252,4885637.5,0,0,2,
6244,33,767,24,1999,1996,7,704,280070,168,6,0.50002,5285910.333,0,0,2,225
6245,34,680,17,1992,1990,2,600,684303,257,14,0.25511,4546689.643,7,1,2,
6246,12,1152,54,1997,1994,1,84,252865,553,4,0,5172196.75,0,0,3,330
6247,4,911,8,1998,1995,1,715,401785,553,4,0.625,5242619.5,0,5,3,
6248,3,1281,7,1990,1987,1,463,0,506,7,0.57144,4333022.714,0,0,1,
6249,19,1246,26,1994,1990,3,718,280070,251,2,0,4535396,0,0,2,383
6250,40,459,12,1995,1994,3,714,211480,553,4,0.375,5308205.75,0,0,3,163
6251,51,1009,3,1992,1989,2,700,788148,51,14,0.84698,4487280.643,1,0,2,112
6252,7,635,10,1998,1997,4,712,863992,261,1,0,5345408,7,0,3,
6253,4,557,27,1994,1992,1,378,218550,2,5,0.56,4972802.6,10,0,2,
6254,11,687,11,1996,1994,2,399,672689,553,8,0.375,5099862.125,0,2,3,
6255,107,925,12,2000,1997,5,707,760898,32,12,0.66668,5679841.583,0,0,2,0
6256,5,785,5,1983,1981,4,701,597550,168,6,0,4119273,0,0,2,200
6257,45,1048,12,1985,1982,2,704,570160,144,6,0,4342498.667,1,1,2,83
6258,14,519,11,1991,1990,1,382,256580,156,5,0,4089644.8,1,0,2,72
